入力No.,地区No.,名称,種別,年代,西暦,所在地①,所在地②,詳細,備考,備考,参考文献,調査日,解説,写真,広報,緯度（世界）,経度（世界）,重複文献①,重複文献②,経度_度,経度_分,経度_秒,緯度_度,緯度_分,緯度_秒
71,1,本地十一面観世音,,不明,,朝日町,地内,,石祠型,,③,,,,,0.00000000 ,0.00000000 ,,,,,,,,
104,2,円教寺馬頭尊,,不明,,朝日町,,円教寺,柱型、文字,,③,,,,,0.00000000 ,0.00000000 ,,,,,,,,
179,3,円教寺板碑（1）,,不明,,朝日町,,円教寺,天蓋、種子 キリーク,,③,,,,,0.00000000 ,0.00000000 ,,,,,,,,
180,4,円教寺板碑（2）,,不明,,朝日町,,円教寺,種子 キリーク,,③,,,,,0.00000000 ,0.00000000 ,,,,,,,,
181,5,円教寺板碑（3）,,不明,,朝日町,,円教寺,弥陀三尊,,③,,,,,0.00000000 ,0.00000000 ,,,,,,,,
232,6,円教寺宝篋印塔（1）,,応永20年,1413,朝日町,,円教寺,笠・塔身のみ,,③,,,,,0.00000000 ,0.00000000 ,,,,,,,,
233,7,円教寺宝篋印塔（2）,,寛永7年,1630,朝日町,,円教寺,笠・塔身のみ,,③,,,,,0.00000000 ,0.00000000 ,,,,,,,,
234,8,円教寺宝篋印塔（3）,,慶安元年,1648,朝日町,,円教寺,笠・塔身のみ,,③,,,,,0.00000000 ,0.00000000 ,,,,,,,,
235,9,円教寺宝篋印塔（4）,,不明,,朝日町,,円教寺,笠 2個,,③,,,,,0.00000000 ,0.00000000 ,,,,,,,,
236,10,円教寺宝篋印塔（5）,,不明,,朝日町,,円教寺,塔身 3個,,③,,,,,0.00000000 ,0.00000000 ,,,,,,,,
256,11,円教寺名号塔,,文政12年,1829,朝日町,,円教寺,柱型,,③,2020/11/28,,@,,36.25075000 ,139.53884167 ,,,36 ,15 ,2.70 ,139 ,32 ,19.83 
260,12,六百遠忌供養塔,,不明,,朝日町,,円教寺,宝塔,,③,,,,,0.00000000 ,0.00000000 ,,,,,,,,
1519,13,阿弥陀三尊種子板碑,,不明,,朝日町,,円教寺,種子 キリーク他,,②,,,,,0.00000000 ,0.00000000 ,,,,,,,,
1520,14,阿弥陀如来種子板碑,,不明,,朝日町,,円教寺,種子 キリーク,,②,,,,,0.00000000 ,0.00000000 ,,,,,,,,
1521,15,阿弥陀如来種子板碑,,不明,,朝日町,,円教寺,種子 キリーク,,②,,,,,0.00000000 ,0.00000000 ,,,,,,,,
1568,16,宝篋印塔基礎銘,,応永20年,1413,朝日町,,円教寺,,,②,,,,,0.00000000 ,0.00000000 ,,,,,,,,
22,17,六百五十年報恩謝像,像,,,朝日町,,円教寺境内,,,①,,,,,0.00000000 ,0.00000000 ,,,,,,,,
23,18,新築記念宝塔,塔,明治6年,1873,朝日町,,円教寺境内,,,①,,,,,0.00000000 ,0.00000000 ,,,,,,,,
66,19,元禄阿弥陀如来尊,立像,元禄9年,1696,朝日町,,法高寺,舟型背面、浮彫,,③,,,,,0.00000000 ,0.00000000 ,,,,,,,,
96,20,吉長馬頭尊,,安永6年,1777,朝日町,,法高寺,舟形背面、像浮彫,,③,,,,,0.00000000 ,0.00000000 ,,,,,,,,
103,21,明治馬頭尊,,明治36年,1903,朝日町,,法高寺,柱型、文字,,③,,,,,0.00000000 ,0.00000000 ,,,,,,,,
117,22,法高寺三猿庚申塔,,延宝5年,1677,朝日町,,法高寺,舟型背面、像浮彫,,③,,,,,0.00000000 ,0.00000000 ,,,,,,,,
120,23,延宝三猿庚申塔,,延宝8年,1680,朝日町,,法高寺,舟型背面、三猿浮彫,,③,,,,,0.00000000 ,0.00000000 ,,,,,,,,
129,24,元文文字庚申塔,,元文5年,1740,朝日町,,法高寺,駒型、文字,,③,,,,,0.00000000 ,0.00000000 ,,,,,,,,
130,25,天明文字庚申塔,,天明7年,1787,朝日町,,法高寺,駒型、文字,,③,,,,,0.00000000 ,0.00000000 ,,,,,,,,
220,26,法高寺宝篋印塔（1）,,寛永13年,1636,朝日町,,法高寺,,,③,,,,,0.00000000 ,0.00000000 ,,,,,,,,
221,27,法高寺宝篋印塔（2）,,寛永15年,1638,朝日町,,法高寺,,,③,,,,,0.00000000 ,0.00000000 ,,,,,,,,
222,28,法高寺宝篋印塔（3）,,寛永16年,1639,朝日町,,法高寺,,,③,,,,,0.00000000 ,0.00000000 ,,,,,,,,
223,29,法高寺宝篋印塔（4）,,明治21年,1888,朝日町,,法高寺,,,③,,,,,0.00000000 ,0.00000000 ,,,,,,,,
240,30,天和名号塔,,天和3年,1683,朝日町,,法高寺,厚碑型,,③,,,,,0.00000000 ,0.00000000 ,,,,,,,,
247,31,享保名号塔,,享保10年,1725,朝日町,,法高寺,厚碑型,,③,,,,,0.00000000 ,0.00000000 ,,,,,,,,
74,32,元禄浮彫り地蔵尊,立像,元禄6年,1693,朝日町,,法輪寺,舟型背面、浮彫,,③,,,,,0.00000000 ,0.00000000 ,,,,,,,,
80,33,法輪寺月参地蔵尊,立像,享保3年,1718,朝日町,,法輪寺,丸彫,,③,,,,,0.00000000 ,0.00000000 ,,,,,,,,
82,34,法輪寺寒念仏地蔵尊,立像,元文元年,1736,朝日町,,法輪寺,丸彫,,③,,,,,0.00000000 ,0.00000000 ,,,,,,,,
87,35,享和百萬遍供養地蔵尊,座像,享和2年,1802,朝日町,,法輪寺,丸彫,,③,,,,,0.00000000 ,0.00000000 ,,,,,,,,
