poi,path,shootingDate,shooter,description,note,fid,mid_thumbnail,small_thumbnail
"101",./images/101/no101.JPG,2020/11/28 10:48:51,井坂優斗,菅原馬頭尊,,"1",./mid_thumbs/101/no101.JPG,./small_thumbs/101/no101.JPG
"102",./images/102/no102.JPG,2020/12/05 14:44:19,井坂優斗,喜市馬頭尊,,"2",./mid_thumbs/102/no102.JPG,./small_thumbs/102/no102.JPG
"103",./images/103/no103-DSC_7140.JPG,2021/01/04 11:14:32,宮田圭祐,明治馬頭尊,,"3",./mid_thumbs/103/no103-DSC_7140.JPG,./small_thumbs/103/no103-DSC_7140.JPG
"107",./images/107/no107.JPG,2020/12/05 14:20:53,井坂優斗,曜華如意輪塔,,"4",./mid_thumbs/107/no107.JPG,./small_thumbs/107/no107.JPG
"108",./images/108/no108.JPG,2020/11/28 12:06:05,井坂優斗,観性寺二十三夜塔,,"5",./mid_thumbs/108/no108.JPG,./small_thumbs/108/no108.JPG
"109",./images/109/no109-DSC_7152.JPG,2021/01/04 14:05:05,宮田圭祐,五宝寺十九夜塔,,"6",./mid_thumbs/109/no109-DSC_7152.JPG,./small_thumbs/109/no109-DSC_7152.JPG
"11",./images/11/no11-DSC_7170.JPG,2021/01/04 15:07:39,宮田圭祐,東亜志士加藤仡夫君碑,,"7",./mid_thumbs/11/no11-DSC_7170.JPG,./small_thumbs/11/no11-DSC_7170.JPG
"112",./images/112/no112-DSC_7157.JPG,2021/01/04 14:50:40,宮田圭祐,庚申待供養塔,,"8",./mid_thumbs/112/no112-DSC_7157.JPG,./small_thumbs/112/no112-DSC_7157.JPG
"113",./images/113/no113-DSC_7162.JPG,2021/01/04 14:51:23,宮田圭祐,寛文三猿庚申塔,,"9",./mid_thumbs/113/no113-DSC_7162.JPG,./small_thumbs/113/no113-DSC_7162.JPG
"115",./images/115/no115-DSC_7158.JPG,2021/01/04 14:50:51,宮田圭祐,延宝文字庚申塔,,"10",./mid_thumbs/115/no115-DSC_7158.JPG,./small_thumbs/115/no115-DSC_7158.JPG
"116",./images/116/no116-DSC_7159.JPG,2021/01/04 14:50:54,宮田圭祐,延宝三猿庚申塔,,"11",./mid_thumbs/116/no116-DSC_7159.JPG,./small_thumbs/116/no116-DSC_7159.JPG
"117",./images/117/no117-DSC_7133.JPG,2021/01/04 11:10:36,宮田圭祐,法高寺三猿庚申塔,,"12",./mid_thumbs/117/no117-DSC_7133.JPG,./small_thumbs/117/no117-DSC_7133.JPG
"118",./images/118/no118.JPG,2020/11/28 12:08:11,井坂優斗,延宝観性寺庚申塔,,"13",./mid_thumbs/118/no118.JPG,./small_thumbs/118/no118.JPG
"12",./images/12/no12-DSC_7171.JPG,2021/01/04 15:08:51,宮田圭祐,本堂改築記念碑,,"14",./mid_thumbs/12/no12-DSC_7171.JPG,./small_thumbs/12/no12-DSC_7171.JPG
"120",./images/120/no120-DSC_7134.JPG,2021/01/04 11:10:45,宮田圭祐,延宝三猿庚申塔,,"15",./mid_thumbs/120/no120-DSC_7134.JPG,./small_thumbs/120/no120-DSC_7134.JPG
"122",./images/122/no122.JPG,2020/12/05 14:16:55,井坂優斗,延宝夘月庚申塔,,"16",./mid_thumbs/122/no122.JPG,./small_thumbs/122/no122.JPG
"123",./images/123/no123.JPG,2020/12/05 14:40:01,井坂優斗,天和庚申塔,,"17",./mid_thumbs/123/no123.JPG,./small_thumbs/123/no123.JPG
"124",./images/124/no124.JPG,2020/12/05 14:39:55,井坂優斗,貞享庚申塔,,"18",./mid_thumbs/124/no124.JPG,./small_thumbs/124/no124.JPG
"125",./images/125/no125.JPG,2020/11/28 11:22:19,井坂優斗,龍泉寺元禄庚申塔,,"19",./mid_thumbs/125/no125.JPG,./small_thumbs/125/no125.JPG
"126",./images/126/no126-DSC_7160.JPG,2021/01/04 14:51:00,宮田圭祐,元禄三猿庚申塔,,"20",./mid_thumbs/126/no126-DSC_7160.JPG,./small_thumbs/126/no126-DSC_7160.JPG
"127",./images/127/no127.JPG,2020/12/05 14:20:47,井坂優斗,元禄教王院庚申塔,,"21",./mid_thumbs/127/no127.JPG,./small_thumbs/127/no127.JPG
"128",./images/128/no128.JPG,2020/11/28 12:08:00,井坂優斗,宝永観性寺庚申塔,,"22",./mid_thumbs/128/no128.JPG,./small_thumbs/128/no128.JPG
"131",./images/131/no131-DSC_7153.JPG,2021/01/04 14:05:17,宮田圭祐,寛政文字庚申塔,,"23",./mid_thumbs/131/no131-DSC_7153.JPG,./small_thumbs/131/no131-DSC_7153.JPG
"133",./images/133/no133.JPG,2020/11/28 12:08:30,井坂優斗,寛政玉石庚申塔,,"24",./mid_thumbs/133/no133.JPG,./small_thumbs/133/no133.JPG
"134",./images/134/no134.JPG,2020/11/28 11:18:20,井坂優斗,自然石庚申塔,,"25",./mid_thumbs/134/no134.JPG,./small_thumbs/134/no134.JPG
"140",./images/140/no140-DSC_7164.JPG,2021/01/04 14:52:02,宮田圭祐,自然石庚申塔,,"26",./mid_thumbs/140/no140-DSC_7164.JPG,./small_thumbs/140/no140-DSC_7164.JPG
"141",./images/141/no141.JPG,2020/11/28 10:59:38,井坂優斗,青梅庚申塔,,"27",./mid_thumbs/141/no141.JPG,./small_thumbs/141/no141.JPG
"142",./images/142/no142.JPG,2020/11/28 11:00:50,井坂優斗,青梅自然石庚申塔,,"28",./mid_thumbs/142/no142.JPG,./small_thumbs/142/no142.JPG
"143",./images/143/no143.JPG,2020/11/28 11:00:35,井坂優斗,碑型三猿庚申塔,,"29",./mid_thumbs/143/no143.JPG,./small_thumbs/143/no143.JPG
"144",./images/144/no144.JPG,2020/11/28 11:01:00,井坂優斗,後岡庚申塔,,"30",./mid_thumbs/144/no144.JPG,./small_thumbs/144/no144.JPG
"145",./images/145/no145-DSC_7179.JPG,2021/01/04 15:29:02,宮田圭祐,青石地蔵板碑,,"31",./mid_thumbs/145/no145-DSC_7179.JPG,./small_thumbs/145/no145-DSC_7179.JPG
"149",./images/149/no149-DSC_7154.JPG,2021/01/04 14:14:46,宮田圭祐,不動まんだら板碑,,"32",./mid_thumbs/149/no149-DSC_7154.JPG,./small_thumbs/149/no149-DSC_7154.JPG
"15",./images/15/no15.JPG,2020/11/28 11:56:39,井坂優斗,寺門興隆之碑,,"33",./mid_thumbs/15/no15.JPG,./small_thumbs/15/no15.JPG
"1584",./images/1584/no1584.JPG,2020/11/28 11:17:57,井坂優斗,毘沙門堂修理記念碑,,"34",./mid_thumbs/1584/no1584.JPG,./small_thumbs/1584/no1584.JPG
"1585",./images/1585/no1585.JPG,2020/11/28 11:18:05,井坂優斗,凱旋紀念碑,,"35",./mid_thumbs/1585/no1585.JPG,./small_thumbs/1585/no1585.JPG
"1586",./images/1586/no1586.JPG,2020/11/28 11:20:16,井坂優斗,当寺中興碑,,"36",./mid_thumbs/1586/no1586.JPG,./small_thumbs/1586/no1586.JPG
"16",./images/16/no16.JPG,2020/11/28 11:42:33,井坂優斗,前町長銅像寄附者の碑,,"37",./mid_thumbs/16/no16.JPG,./small_thumbs/16/no16.JPG
"17",./images/17/no17.JPG,2020/11/28 11:47:09,井坂優斗,荒井閑窓句碑,,"38",./mid_thumbs/17/no17.JPG,./small_thumbs/17/no17.JPG
