入力No.,地区No.,名称,種別,年代,西暦,所在地①,所在地②,詳細,備考①,備考②,備考③,参考文献,地区,調査日,解説,写真,広報,緯度（世界）,経度（世界）,緯度_度,緯度_分,緯度_秒,経度_度,経度_分,経度_秒
71,1,本地十一面観世音,,不明,,朝日町,地内,,石祠型,,高幅厚,③,館林,,,,,0.00000000 ,0.00000000 ,,,,,,
104,2,円教寺馬頭尊,,不明,,朝日町,,円教寺,柱型、文字,,高幅厚,③,館林,,,,,0.00000000 ,0.00000000 ,,,,,,
179,3,円教寺板碑（1）,,不明,,朝日町,,円教寺,天蓋、種子 キリーク,,高幅厚,③,館林,,,,,0.00000000 ,0.00000000 ,,,,,,
180,4,円教寺板碑（2）,,不明,,朝日町,,円教寺,種子 キリーク,,高幅厚,③,館林,,,,,0.00000000 ,0.00000000 ,,,,,,
181,5,円教寺板碑（3）,,不明,,朝日町,,円教寺,弥陀三尊,,高幅厚,③,館林,,,,,0.00000000 ,0.00000000 ,,,,,,
232,6,円教寺宝篋印塔（1）,,応永20年,1413,朝日町,,円教寺,笠・塔身のみ,,高幅厚,③,館林,,,,,0.00000000 ,0.00000000 ,,,,,,
233,7,円教寺宝篋印塔（2）,,寛永7年,1630,朝日町,,円教寺,笠・塔身のみ,,高幅厚,③,館林,,,,,0.00000000 ,0.00000000 ,,,,,,
234,8,円教寺宝篋印塔（3）,,慶安元年,1648,朝日町,,円教寺,笠・塔身のみ,,高幅厚,③,館林,,,,,0.00000000 ,0.00000000 ,,,,,,
235,9,円教寺宝篋印塔（4）,,不明,,朝日町,,円教寺,笠 2個,,高幅厚,③,館林,,,,,0.00000000 ,0.00000000 ,,,,,,
236,10,円教寺宝篋印塔（5）,,不明,,朝日町,,円教寺,塔身 3個,,高幅厚,③,館林,,,,,0.00000000 ,0.00000000 ,,,,,,
256,11,円教寺名号塔,,文政12年,1829,朝日町,,円教寺,柱型,,高幅厚,③,館林,2020/11/28,,@,,36.25075000 ,139.53884167 ,36 ,15 ,2.70 ,139 ,32 ,19.83 
260,12,六百遠忌報恩塔,,不明,,朝日町,,円教寺,宝塔,供養→報恩へ変更,高幅厚,③,館林,2021/1/4,,@,,36.25141111 ,139.53902778 ,36 ,15 ,5.08 ,139 ,32 ,20.50 
1519,13,阿弥陀三尊種子板碑,,不明,,朝日町,,円教寺,種子 キリーク他,,高73幅27,②468,館林,,,,,0.00000000 ,0.00000000 ,,,,,,
1520,14,阿弥陀如来種子板碑,,不明,,朝日町,,円教寺,種子 キリーク,,高43幅23,②468,館林,,,,,0.00000000 ,0.00000000 ,,,,,,
1521,15,阿弥陀如来種子板碑,,不明,,朝日町,,円教寺,種子 キリーク,,高32幅17.5,②468,館林,,,,,0.00000000 ,0.00000000 ,,,,,,
1568,16,宝篋印塔基礎銘,,応永20年,1413,朝日町,,円教寺,,,高23.5幅30,②484,館林,,,,,0.00000000 ,0.00000000 ,,,,,,
22,17,六百五十年報恩謝像,像,,,朝日町,,円教寺境内,,,高150幅76厚12,①,館林,,,,,0.00000000 ,0.00000000 ,,,,,,
23,18,新築記念宝塔,塔,明治6年,1873,朝日町,,円教寺境内,,,高330幅33厚33,①,館林,2021/1/4,,@,,36.25145556 ,139.53887222 ,36 ,15 ,5.24 ,139 ,32 ,19.94 
66,19,元禄阿弥陀如来尊,立像,元禄9年,1696,朝日町,,法高寺,舟型背面、浮彫,,高幅厚,③,館林,,,,,0.00000000 ,0.00000000 ,,,,,,
96,20,吉長馬頭尊,,安永6年,1777,朝日町,,法高寺,舟形背面、像浮彫,,高幅厚,③,館林,2021/1/4,,@,,36.25154444 ,139.53786667 ,36 ,15 ,5.56 ,139 ,32 ,16.32 
103,21,明治馬頭尊,,明治36年,1903,朝日町,,法高寺,柱型、文字,,高幅厚,③,館林,2021/1/4,,@,,36.25156389 ,139.53783611 ,36 ,15 ,5.63 ,139 ,32 ,16.21 
117,22,法高寺三猿庚申塔,,延宝5年,1677,朝日町,,法高寺,舟型背面、像浮彫,,高幅厚,③,館林,2021/1/4,,@,,36.25151944 ,139.53782778 ,36 ,15 ,5.47 ,139 ,32 ,16.18 
120,23,延宝三猿庚申塔,,延宝8年,1680,朝日町,,法高寺,舟型背面、三猿浮彫,,高幅厚,③,館林,2021/1/4,,@,,36.25152778 ,139.53786667 ,36 ,15 ,5.50 ,139 ,32 ,16.32 
129,24,元文文字庚申塔,,元文5年,1740,朝日町,,法高寺,駒型、文字,,高幅厚,③,館林,,,,,0.00000000 ,0.00000000 ,,,,,,
130,25,天明文字庚申塔,,天明7年,1787,朝日町,,法高寺,駒型、文字,,高幅厚,③,館林,,,,,0.00000000 ,0.00000000 ,,,,,,
220,26,法高寺宝篋印塔（1）,,寛永13年,1636,朝日町,,法高寺,,,高幅厚,③,館林,2021/1/4,,@,,36.25153333 ,139.53783611 ,36 ,15 ,5.52 ,139 ,32 ,16.21 
221,27,法高寺宝篋印塔（2）,,寛永15年,1638,朝日町,,法高寺,,,高幅厚,③,館林,,,,,0.00000000 ,0.00000000 ,,,,,,
