fid,X,Y,area_no,name,type,era,year,place_1,place_2,detail,note_1,note_2,note_3,area,surveyed,description,photo,public_relations,confirmed,primary_image,height,width,depth,shape,material,inscription,statue_height,color,contradiction,need_action,status
"2",139.53811667,36.24515,"156",竹生島神社建営碑,碑,昭和61年,"1986",本町三丁目,,竹生島神社境内,,,,館林,2020/11/28,@,@,,TRUE,"52",83,125,32,,,,,,,,
"3",139.53817222,36.24516111,"157",神社記念碑,碑,大正5年,"1916",本町三丁目,,竹生島神社境内,,,,館林,2020/11/28,,@,,TRUE,"79",183,81,4,,,,,,,,
"4",139.53821944,36.24515833,"158",城沼耕地整理記念碑,碑,昭和4年,"1929",本町三丁目,,竹生島神社境内,,,,館林,2020/11/28,@,@,Jul-18,TRUE,"81",244,94,24,,,,,,,,
"5",139.53323611,36.24625556,"135",青梅天満宮標石,標石,寛文6年,"1666",本町二丁目,,青梅神社境内,,,,館林,2020/11/28,@,@,,TRUE,"89",190,36,35,,,,,,,,
"6",139.53253889,36.24646944,"136",参宮記念碑,碑,昭和9年,"1934",本町二丁目,,青梅神社境内,,,,館林,2020/11/28,,@,,TRUE,"100",178,73,14,,,,,,,,
"7",139.52741111,36.24889444,"66",篤敬三宝碑,碑,大正6年,"1917",栄町,,覚応寺境内,,,,館林,2021/1/4,,@,,TRUE,"105",192,87,11,,,,,,,,
"8",139.52745833,36.24886944,"67",御大典記念碑,碑,昭和3年,"1928",栄町,,覚応寺境内,,,,館林,2021/1/4,,@,,TRUE,"109",243,100,16,,,,,,,,
"9",139.52753333,36.24884444,"68",館林鳶組記念碑,碑,明治35年,"1902",栄町,,覚応寺境内,,,,館林,2021/1/4,,@,Nov-19,TRUE,"118",286,69,10,,,,,,,,
"10",139.5271668546,36.2492211051,"69",大久保鼎死処の碑,碑,明治26年,"1893",栄町,,覚応寺境内,,一覧と年代異なる,,館林,,@,,,FALSE,,159,100,15,,,,,,,,
"11",139.52710833,36.249,"70",東亜志士加藤仡夫君碑,碑,大正2年,"1913",栄町,,覚応寺境内,,,,館林,2021/1/4,@,@,,TRUE,"7",227,100,13,,,,,,,,
